,id,name,category,rating,reviews,price,zipcode,latitude,longitude,city,address1,address2,address3,display_address,postcode,area
1305,rEmx2e1fN4kjLtPPu3zenQ,Dtwo,danceclubs,2.5,38,2,2,53.3342,-6.26305,Dublin,60 Harcourt Street,,,"['60 Harcourt Street', 'Dublin 2', 'Republic of Ireland']",D02 PR84,D02
1309,mxmGLtDnGlWlyGn2WueR4w,Flannerys,pub,3.0,30,2,2,53.3359343562243,-6.26510360702514,Dublin,6 Camden Street Lower,,,"['6 Camden Street Lower', 'Dublin 2', 'Republic of Ireland']",D02 DH36,D02
1311,BesHV3UEr5eliDe3t9GBQA,Xico,bar,3.0,27,2,2,53.3380350148526,-6.25338703777874,Dublin,143 Lower Baggot Street,,,"['143 Lower Baggot Street', 'Dublin 2', 'Republic of Ireland']",D02 F821,D02
1314,ek-vVrzt2_wP8ABy5bwNdg,The Dropping Well,pub,3.5,20,2,6,53.30799,-6.255083,Dublin,Classon's Bridge,Milltown Road,,"[""Classon's Bridge"", 'Milltown Road', 'Dublin 6', 'Republic of Ireland']",D06 EY73,D06
1315,A55aRfzAc2RXL50RQvyHdQ,The Merrion Inn,pub,4.0,19,2,4,53.3186410122374,-6.21192645316718,Dublin,188 Merrion Road,Ballsbridge,,"['188 Merrion Road', 'Ballsbridge', 'Dublin 4', 'Republic of Ireland']",D04 EC86,D04
1316,AzcNaNcorc2R1FMLweQtdw,Burnell Bar & Grill,pub,2.5,16,2,17,53.403766581745,-6.1795840770595,Dublin,Malahide Road,,,"['Malahide Road', 'Dublin 17', 'Republic of Ireland']",D17 TX92,D17
1317,fJ3onzFBJvauwM39AipzWg,Brian Boru,pub,4.0,12,2,9,53.3652359341857,-6.27197467512069,Glasnevin,5 Prospect Road,,,"['5 Prospect Road', 'Glasnevin, 9', 'Republic of Ireland']",D09 X8N0,D09
1320,XZU1VfGpT3emssl_5jQ79Q,Dylan Bar,bar,4.0,8,3,4,53.33382,-6.242011,Dublin,Eastmoreland Place,,,"['Eastmoreland Place', 'Dublin 4', 'Republic of Ireland']",D04 V210,D04
1321,5yuGdoSlLlBw8Va3y4OUFg,Corrigans Bar & Lounge,pub,4.5,7,2,6,53.327491445812,-6.26160417301475,Rathmines,27 Lower Mountpleasant Avenue,,,"['27 Lower Mountpleasant Avenue', 'Rathmines, 6', 'Republic of Ireland']",D06 FC93,D06
1323,BgwLf_QeZrid3eRyOeQe-g,Old Royal Oak,pub,4.0,5,2,8,53.3416566701295,-6.30356739991394,Kilmainham,11 High Road,,,"['11 High Road', 'Kilmainham, 8', 'Republic of Ireland']",D08 DK2K,D08
1324,_PUHyIpIbkrUSQeCsUKCoQ,Robert Reade,pub,4.5,5,2,1,53.35027,-6.25294,Dublin,19 Store Street,,,"['19 Store Street', 'Dublin 1', 'Republic of Ireland']",D01 NY02,D01
